Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,,
Rest-of-World (RoW),Metal,Galvanized Steel,"metal working, average for metal product manufacturing
This is delivering the service of 'zinc coat, pieces'.",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.
This is delivering the service of 'zinc coat, pieces'","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.
zinc coat: Includes the process steps degreasing, pickling, fluxing, galvanising (melt zinc coating) and finishing. Does not include the fabricates being coated.",1,Total material weight of the product,"https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8721/documentation
https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1108/documentation",8.099,,,Ecoinvent,Ecoinvent V 3.11,,
,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,"This EPD presents inventory and impact assessment results which combine the manufacturing stage (A1) of SDI structural sections with industry-average transport to fabrication (A2) and fabrication (A3) as published by AISC in the EPD for “Fabricated Hot-rolled Structural Sections” (American Institute of Steel Construction, 2021).",1,"Declared Unit: One metric ton (1,000 kg) of fabricated steel structural sections",EPD_ASTM – Fabricated Hot-Rolled Structural Steel Sections_ASTM-EPD-341_US_062022 062027.pdf,Keep out of backend updates,(216*0.277778)/1000,0.060,EPD,EPD,,
China,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.050,,,,,,
Vietnam,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.038,,,,,,
Global,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.041,,,,,,
Czech Republic,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.040,,,,,,
France,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.005,,,,,,
Netherlands,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.027,,,,,,
Poland,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.058,,,,,,
Spain,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.012,,,,,,
Taiwan,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.046,,,,,,
United States ,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.029,,,,,,
India,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.086,,,,,,
United Kingdom,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.017,,,,,,
Rest-of-World,Metal,Nickel,Whole process,EPD,Whole process of manufacturing metal Tambour cabinet is considered,,,,,0.062,,,,,,
Rest-of-World,Wood,Oak,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Germany,Wood,Oak,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Maple,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Cherry,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Walnut,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World,Wood,Beech,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Germany,Wood,Beech,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Mahogany,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World,Wood,Pine,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Germany,Wood,Pine,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Sweden,Wood,Pine,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World,Wood,Birch,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Sweden,Wood,Birch,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Teak,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Ash,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Alder,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Rubberwood,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Rosewood,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Poplar,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Philippines,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Colombia,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Brazil,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
China,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Ecuador,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Sweden,Wood,Strand-Woven Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Global,Wood,Strand-Woven Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Europe (RER),Wood,Particle Board,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World,Wood,Particle Board,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World,Wood,MDF,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
Europe,Wood,MDF,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.11,,
China,Wood,Plywood,"furniture production, wooden",Ecoinvent V 3.12,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22003/documentation,2.112,,,Ecoinvent,Ecoinvent V 3.12,,
,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/198,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Tempered Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/199,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Laminated Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/201,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Frosted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/202,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/203,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Clear Float Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/204,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Tinted Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/205,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
