Region,Material ID,Material Category,Material Subtype,Per Unit,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name,Source UUID / Link
Global (GLO),MAT-Laminat-0012,Laminate,Writable Laminate (Markerboard),kg,8.9829,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Reffered: High Pressure Laminates,https://api.environdec.com/api/v1/EPDLibrary/Files/db082963-3ccb-44b5-50f7-08dafd38c942/Data
Global (GLO),MAT-Laminat-0013,Laminate,Digital Laminate,kg,8.9829,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Reffered: High Pressure Laminates,https://api.environdec.com/api/v1/EPDLibrary/Files/db082963-3ccb-44b5-50f7-08dafd38c942/Data
Global (GLO),MAT-Laminat-0014,Laminate,Eco-Friendly Laminate,kg,8.9829,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Reffered: High Pressure Laminates,https://api.environdec.com/api/v1/EPDLibrary/Files/db082963-3ccb-44b5-50f7-08dafd38c942/Data
Global (GLO),MAT-Mesh-0001,Mesh,Nylon Mesh,kg,0.317,EPD,Direct,,Reco nylon,https://api.environdec.com/api/v1/EPDLibrary/Files/592c2100-7d50-4dab-f8bf-08dbfcbc4c1b/Data
Global (GLO),MAT-Mesh-0002,Mesh,Polyester Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0003,Mesh,PVC-Coated Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0004,Mesh,Elastomeric Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0005,Mesh,Fiberglass Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0006,Mesh,Metal Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0007,Mesh,Knitted Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0008,Mesh,Spacer Mesh (3D Mesh),kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0009,Mesh,Air Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0010,Mesh,Monofilament Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0011,Mesh,Polypropylene Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0012,Mesh,Acrylic Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0013,Mesh,Conductive Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0014,Mesh,Micro-Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Global (GLO),MAT-Mesh-0015,Mesh,Hybrid Mesh,kg,5.097,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred NYLON,https://api.environdec.com/api/v1/EPDLibrary/Files/8ac75065-99cf-440c-939a-10840d991e0e/Data
Belgium,MAT-Foam-0001,Foam,Polyurethane Foam,kg,7.15,EPD,Proxy,"As ecoinvent does not include a specific or directly matching dataset for the material, a proxy material with similar properties was selected.","Flexible Polyurethane (PU) Foam - TDI-based PU foam without FR, low density 18 to 25 kg/m³ ",https://europur.org/wp-content/uploads/2022/04/20150821_EPD_EUROPUR_PU_foam.pdf
Belgium,MAT-Foam-0002,Foam,Memory Foam,kg,6.90,EPD,Proxy,"As ecoinvent does not include a specific or directly matching dataset for the material, a proxy material with similar properties was selected.","Flexible Polyurethane (PU) Foam -  MDI-based viscoelastic PU foam without FR, density 45 to 53 kg/m³",
Belgium,MAT-Foam-0003,Foam,Latex Foam,kg,6.90,EPD,Proxy,Memory foam is often used in conjunction with other foams like latex or polyurethane,"Flexible Polyurethane (PU) Foam -  MDI-based viscoelastic PU foam without FR, density 45 to 53 kg/m³",
Belgium,MAT-Foam-0004,Foam,High-Density Foam,kg,6.90,EPD,Proxy,"As ecoinvent does not include a specific or directly matching dataset for the material, a proxy material with similar properties was selected.","Flexible Polyurethane (PU) Foam - TDI-based PU foam without FR, high
density 35 to 40 kg/m³",https://europur.org/wp-content/uploads/2022/04/20150821_EPD_EUROPUR_PU_foam.pdf
Belgium,MAT-Foam-0005,Foam,Low-Density Foam,kg,7.15,EPD,Proxy,"As ecoinvent does not include a specific or directly matching dataset for the material, a proxy material with similar properties was selected.","Flexible Polyurethane (PU) Foam - TDI-based PU foam without FR, low density 18 to 25 kg/m³ ",https://europur.org/wp-content/uploads/2022/04/20150821_EPD_EUROPUR_PU_foam.pdf
Belgium,MAT-Foam-0006,Foam,Gel-Infused Foam,kg,7.15,EPD,Proxy,"While it may not find an EPD specifically for gel-infused foam, it can use polyurethane foam EPDs as a proxy for understanding its environmental impact.","Flexible Polyurethane (PU) Foam - TDI-based PU foam without FR, low density 18 to 25 kg/m³ ",https://europur.org/wp-content/uploads/2022/04/20150821_EPD_EUROPUR_PU_foam.pdf
Belgium,MAT-Foam-0007,Foam,Egg Crate Foam,kg,7.15,EPD,Proxy,"While it may not find an EPD specifically for egg-crate foam, it can use polyurethane foam EPDs as a proxy for understanding its environmental impact.","Flexible Polyurethane (PU) Foam - TDI-based PU foam without FR, low density 18 to 25 kg/m³ ",https://europur.org/wp-content/uploads/2022/04/20150821_EPD_EUROPUR_PU_foam.pdf
Belgium,MAT-Foam-0008,Foam,Rebond Foam,kg,7.15,EPD,Proxy,"While it may not find an EPD specifically for rebond foam, it can use polyurethane foam EPDs as a proxy for understanding its environmental impact.","Flexible Polyurethane (PU) Foam - TDI-based PU foam without FR, low density 18 to 25 kg/m³ ",https://europur.org/wp-content/uploads/2022/04/20150821_EPD_EUROPUR_PU_foam.pdf
Belgium,MAT-Foam-0009,Foam,Convoluted Foam,kg,7.15,EPD,Proxy,"While it may not find an EPD specifically for rebond foam, it can use polyurethane foam or recycled foam EPDs as a proxy for understanding its environmental impact.","Flexible Polyurethane (PU) Foam - TDI-based PU foam without FR, low density 18 to 25 kg/m³ ",https://europur.org/wp-content/uploads/2022/04/20150821_EPD_EUROPUR_PU_foam.pdf
Belgium,MAT-Foam-0010,Foam,Open-Cell Foam,kg,7.15,EPD,Proxy,"While it may not find an EPD specifically for rebond foam, it can use Open-Cell Foam EPDs as a proxy for understanding its environmental impact.","Flexible Polyurethane (PU) Foam - TDI-based PU foam without FR, low density 18 to 25 kg/m³ ",https://europur.org/wp-content/uploads/2022/04/20150821_EPD_EUROPUR_PU_foam.pdf
Belgium,MAT-Foam-0011,Foam,Closed-Cell Foam,kg,7.15,EPD,Proxy,"While it may not find an EPD specifically for Closed-Cell Foam, it can use polyurethane foam EPDs as a proxy for understanding its environmental impact.","Flexible Polyurethane (PU) Foam - TDI-based PU foam without FR, low density 18 to 25 kg/m³ ",https://europur.org/wp-content/uploads/2022/04/20150821_EPD_EUROPUR_PU_foam.pdf
Belgium,MAT-Foam-0012,Foam,Microbead Foam,kg,7.15,EPD,Proxy,"While it may not find an EPD specifically for microbead Foam, it can use Expanded Polystyrene (EPS) EPDs as a proxy for understanding its environmental impact.",Expanded Polystyrene (EPS) Foam Insulation,https://anape.es/wp-content/uploads/Expanded-Polystyrene-EPS-Foam-Insulation-density-25-kgm.pdf
Europe (RER),MAT-Foam-0013,Foam,Polyethylene Foam,kg,7.15,EPD,Direct,,Polyethylene foam,https://api.environdec.com/api/v1/EPDLibrary/Files/fcde9c29-4255-4a03-a5e4-08dae89fe9e4/Data
Global (GLO),MAT-Foam-0014,Foam,Sculpted Foam,kg,7.15,EPD,Proxy,"While it may not find an EPD specifically for Exact or similar EPD forSculpted Foam, it can use polyurethane foam EPDs as a proxy for understanding its environmental impact.","Flexible Polyurethane (PU) Foam - TDI-based PU foam without FR, low density 18 to 25 kg/m³ ",https://europur.org/wp-content/uploads/2022/04/20150821_EPD_EUROPUR_PU_foam.pdf
China (CN),MAT-Stone-0001,Stone,Marble,kg,0.33,EPD,Direct,,Marble Block Stone from Norwegian Rose Quarry - China,https://www.epd-norge.no/getfile.php/13201150-1741709858/EPDer/Byggevarer/Naturstein/NEPD-7156-6554_Marble-Block-Stone-from-Norwegian-Rose-Quarry---China.pdf
Sweden (SE),MAT-Stone-0002,Stone,Granite,kg,0.07,EPD,Direct,,Natural stone products of granite and limestone –,https://api.environdec.com/api/v1/EPDLibrary/Files/9ccc4db8-b66e-4e93-1965-08d972a96257/Data
Thailand,MAT-Stone-0003,Stone,Quartz,kg,0.01,EPD,Direct,,Quartz stone products,https://pcr-epd.s3.us-east-2.amazonaws.com/1177.EPD_for_LETA.pdf
Rest-of-World (RoW),MAT-Stone-0004,Stone,Limestone,kg,0.07,Ecoinvent,Direct,,"market for limestone, milled, packed",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/15376/documentation
Switzerland (CH),MAT-Stone-0005,Stone,Limestone,kg,0.01,Ecoinvent,Direct,,"market for limestone, milled, packed",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/15777/documentation
Europe without Switzerland (Europe without Switzerland),MAT-Stone-0006,Stone,Limestone,kg,0.05,Ecoinvent,Direct,,"market for limestone, milled, packed",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/17871/documentation
Global (GLO),MAT-Stone-0007,Stone,Soapstone,kg,0.072,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred to : Natural stone products of granite and limestone –,https://api.environdec.com/api/v1/EPDLibrary/Files/9ccc4db8-b66e-4e93-1965-08d972a96257/Data
Global (GLO),MAT-Stone-0008,Stone,Onyx,kg,0.072,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred to : Natural stone products of granite and limestone –,https://api.environdec.com/api/v1/EPDLibrary/Files/9ccc4db8-b66e-4e93-1965-08d972a96257/Data
Sweden (SE),MAT-Stone-0009,Stone,Slate,kg,0.20,EPD,Direct,,Slate stone pieces,https://api.environdec.com/api/v1/EPDLibrary/Files/928da3ac-c37f-4af3-e89e-08dc7a67eb3e/Data
Global (GLO),MAT-Stone-0010,Stone,Travertine,kg,0.072,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred to : Natural stone products of granite and limestone –,https://api.environdec.com/api/v1/EPDLibrary/Files/9ccc4db8-b66e-4e93-1965-08d972a96257/Data
Rest-of-World (RoW),MAT-Stone-0011,Stone,Concrete,kg,0.10,Ecoinvent,Direct,,"market for concrete, 20MPa",https://ecoquery.ecoinvent.org/3.11/cutoff/search?query=market+for+concrete%2C+20MPa&currentPage=1&pageSize=10&searchBy=activity
Colombia (CO),MAT-Stone-0012,Stone,Concrete,kg,0.11,Ecoinvent,Direct,,"market for concrete, 20MPa",https://ecoquery.ecoinvent.org/3.11/cutoff/search?query=market+for+concrete%2C+20MPa&currentPage=1&pageSize=10&searchBy=activity
South Africa (ZA),MAT-Stone-0013,Stone,Concrete,kg,0.10,Ecoinvent,Direct,,"market for concrete, 20MPa",https://ecoquery.ecoinvent.org/3.11/cutoff/search?query=market+for+concrete%2C+20MPa&currentPage=1&pageSize=10&searchBy=activity
Peru (PE),MAT-Stone-0014,Stone,Concrete,kg,0.15,Ecoinvent,Direct,,"market for concrete, 20MPa",https://ecoquery.ecoinvent.org/3.11/cutoff/search?query=market+for+concrete%2C+20MPa&currentPage=1&pageSize=10&searchBy=activity
Northern America (RNA),MAT-Stone-0015,Stone,Concrete,kg,0.11,Ecoinvent,Direct,,"market for concrete, 20MPa",https://ecoquery.ecoinvent.org/3.11/cutoff/search?query=market+for+concrete%2C+20MPa&currentPage=1&pageSize=10&searchBy=activity
Italy,MAT-Stone-0016,Stone,Terrazzo,kg,1.07,EPD,Direct,,Terrazzoplatta 12 mm,https://www.epd-norge.no/getfile.php/13211513-1741727169/EPDer/Byggevarer/Teknisk-kjemiske%20byggevareprodukter/NEPD-6309-5565_Terrazzoplatta-12-mm--Italian--and-Herrljunga-XQ.pdf
Rest-of-World (RoW),MAT-Stone-0017,Stone,Basalt,kg,0.02,Ecoinvent,Direct,,market for basalt,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1370/documentation
Global (GLO),MAT-Stone-0018,Stone,Jasper,kg,0.072,EPD,Proxy,"AI could not find a specific emission factor, so a proxy material with similar properties has been used to calculate emissions.",Referred to : Natural stone products of granite and limestone –,https://api.environdec.com/api/v1/EPDLibrary/Files/9ccc4db8-b66e-4e93-1965-08d972a96257/Data
